   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.71688,             0.43681,             0.45515,             0.20324,            0.052047,            0.028616,            0.011007,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.056479,             0.38714,            0.097311,               43.19,             0.40432,             0.76523,              4.6318,          0.00045132,             0.55432,             0.33399,             0.70549,            0.064546,             0.38711,                   3
             0.75427,             0.47805,             0.50161,             0.23148,             0.04917,            0.028167,            0.010461,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.036064,             0.42304,             0.15844,              22.386,             0.52788,             0.26731,              2.2102,           0.0007298,             0.64513,             0.47822,             0.26769,             0.40943,             0.27067,                   3
             0.76416,             0.47674,             0.50353,             0.23367,            0.048897,            0.027951,            0.009876,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.005556,             0.37042,             0.66544,              20.597,             0.11988,              0.4312,               3.722,          0.00065692,             0.72312,             0.39015,             0.14421,             0.43378,             0.49861,                   3
              0.7467,             0.47038,             0.50017,             0.22433,            0.050399,            0.028683,           0.0098251,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.080498,             0.72811,             0.15698,              32.405,             0.24085,             0.71081,              6.5608,          0.00066949,             0.60702,             0.18352,           0.0044572,             0.22507,             0.90258,                   3
             0.76571,             0.46474,             0.50106,             0.22951,            0.049712,            0.027942,           0.0097433,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.036575,             0.88131,              0.3934,              41.322,             0.58361,             0.32504,              9.8743,           7.658e-05,             0.18947,             0.46964,             0.23535,           0.0078312,             0.14222,                   3
             0.78449,             0.48358,             0.51805,             0.23213,            0.048946,            0.027552,           0.0098618,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0020294,             0.89382,             0.25294,              33.664,             0.26425,             0.40891,              5.7691,           0.0001569,             0.39535,             0.43144,            0.011868,             0.70258,             0.30538,                   3
             0.65281,              0.3757,             0.38093,             0.15381,            0.058082,            0.032773,            0.014732,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.079254,             0.53554,             0.74176,              28.595,             0.18666,             0.53686,              8.1729,          0.00046827,             0.91795,             0.57014,             0.91798,             0.55926,             0.24054,                   3
             0.74152,             0.44014,             0.46512,             0.21581,            0.051082,            0.029185,            0.010702,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.054347,              0.5967,             0.19886,              14.939,             0.36465,             0.29431,              3.1672,             0.00092,             0.76939,             0.88726,             0.39142,              0.6207,             0.78232,                   3
             0.73348,             0.43475,             0.46296,             0.21515,            0.051045,             0.02939,            0.011218,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.074878,            0.092281,             0.39991,              6.5322,             0.46718,             0.68094,               7.921,          0.00097501,             0.74059,              0.9465,           0.0015947,             0.50086,              0.6359,                   3
             0.69585,             0.45616,             0.45857,             0.20458,            0.051507,            0.028101,           0.0095283,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.065113,             0.33391,             0.41436,               19.08,             0.88288,             0.65453,              3.7937,          0.00031579,             0.24299,            0.076454,             0.43571,             0.21345,             0.25881,                   3
             0.49126,             0.21483,             0.19246,            0.073394,              0.0659,            0.040049,            0.023756,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026105,             0.33978,             0.78775,              11.232,              0.8375,             0.58935,              7.1522,          0.00089554,             0.98535,             0.53421,             0.87609,              0.7932,             0.42387,                   3
             0.72252,             0.43344,             0.44853,             0.18744,            0.054415,            0.029024,            0.010703,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.063158,             0.27983,             0.32559,              39.105,             0.27061,            0.046674,              7.8886,          0.00013747,             0.56884,             0.92842,             0.35154,             0.86934,             0.11459,                   3
             0.79227,             0.50577,             0.53822,              0.2524,              0.0472,            0.027359,           0.0093714,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.022184,             0.50329,             0.84277,              3.0634,             0.72481,            0.036008,              2.6591,          0.00056106,             0.43218,             0.65555,             0.80322,             0.23874,             0.68954,                   3
